Nama Penyakit;Penjelasan Singkat;Saran Gaya Hidup;Saran Makanan
batu ginjal;Penyakit batu ginjal merupakan kondisi terbentuknya materi padat dan keras yang menyerupai batu pada ginjal. Batu tersebut berasal dari garam dan mineral di dalam ginjal. Masalah kesehatan ini bisa muncul di sepanjang saluran urine. Batu yang terlalu besar dapat mengganggu cadangan urin di ginjal, ureter, kandung kemih, atau uretra. Hal ini yang menimbulkan rasa sakit.;Gaya hidup sehat yang dapat diterapkan berkaitan dengan batu ginjal adalah dengan menjaga kebutuhan cairan tubuh tetap tercukupi, mengurangi asupan garam karena asupan garam yang berlebihan meningkatkan risiko batu ginjal kalsium, membatasi diri dari makanan yang kaya akan oksalat dan menjaga berat badan ideal;Untuk menurunkan resiko batu ginjal kamu dapat mengkonsumsi buah-buahan seperti apel, anggur, lemon, pisang, pepaya, buah sutrus dan plum, juga mengkonsumsi sayuran seperti lobak, brokoli atau pok choy dan memperbanyak minum air putih. Hindari mengkonsumsi terlalu banyak makanan tinggi garam, makanan tinggi protein hewani dan minuman bersoda.
batu ginjal1;Penyakit batu ginjal merupakan kondisi terbentuknya materi padat dan keras yang menyerupai batu pada ginjal. Batu tersebut berasal dari garam dan mineral di dalam ginjal. Masalah kesehatan ini bisa muncul di sepanjang saluran urine. Batu yang terlalu besar dapat mengganggu cadangan urin di ginjal, ureter, kandung kemih, atau uretra. Hal ini yang menimbulkan rasa sakit.;Gaya hidup sehat yang dapat diterapkan berkaitan dengan batu ginjal adalah dengan menjaga kebutuhan cairan tubuh tetap tercukupi, mengurangi asupan garam karena asupan garam yang berlebihan meningkatkan risiko batu ginjal kalsium, membatasi diri dari makanan yang kaya akan oksalat dan menjaga berat badan ideal;Untuk menurunkan resiko batu ginjal kamu dapat mengkonsumsi buah-buahan seperti apel, anggur, lemon, pisang, pepaya, buah sutrus dan plum, juga mengkonsumsi sayuran seperti lobak, brokoli atau pok choy dan memperbanyak minum air putih. Hindari mengkonsumsi terlalu banyak makanan tinggi garam, makanan tinggi protein hewani dan minuman bersoda.
arteri perifer;Penyakit arteri perifer disebabkan oleh penumpukan lemak di dinding pembuluh darah yang memasok darah ke tungkai. Timbunan lemak tersebut membuat arteri menyempit, sehingga aliran darah ke tungkai tersumbat;Cara paling efektif untuk mencegah penyakit arteri perifer adalah dengan mencegah terjadinya penumpukan lemak pada pembuluh darah. Upaya yang dapat dilakukan antara lain Berhenti merokok, Mengonsumsi makanan bergizi seimbang, Berolahraga rutin 3045 menit setiap hari, Menjaga berat badan ideal, Mengurangi konsumsi minuman beralkohol dan Mengikuti anjuran dokter untuk mengatasi diabetes, hipertensi, atau kolesterol tinggi;Makanan yang dapat membersihkan plak arteri antara lain sayur-sayuran seperti Asparagus, bayam dan Brokoli, buah-buahan misalnya Alpukat, ikan berlemak, kacang, minyak zaitun, semangka dan kunyit
arteri perifer1;Penyakit arteri perifer disebabkan oleh penumpukan lemak di dinding pembuluh darah yang memasok darah ke tungkai. Timbunan lemak tersebut membuat arteri menyempit, sehingga aliran darah ke tungkai tersumbat;Cara paling efektif untuk mencegah penyakit arteri perifer adalah dengan mencegah terjadinya penumpukan lemak pada pembuluh darah. Upaya yang dapat dilakukan antara lain Berhenti merokok, Mengonsumsi makanan bergizi seimbang, Berolahraga rutin 3045 menit setiap hari, Menjaga berat badan ideal, Mengurangi konsumsi minuman beralkohol dan Mengikuti anjuran dokter untuk mengatasi diabetes, hipertensi, atau kolesterol tinggi;Makanan yang dapat membersihkan plak arteri antara lain sayur-sayuran seperti Asparagus, bayam dan Brokoli, buah-buahan misalnya Alpukat, ikan berlemak, kacang, minyak zaitun, semangka dan kunyit
jantung koroner;Penyakit jantung koroner adalah kondisi di mana aliran darah menuju jantung terhambat. Hal ini disebabkan oleh adanya penyumbatan atau penyempitan pada pembuluh darah arteri.Penyumbatan dapat terjadi jika terdapat penumpukan kolesterol yang memicu penimbunan plak di dalam pembuluh arteri dalam jangka panjang. ;Untuk menjaga kondisi jantung tetap stabil, terdapat beberapa hal yang dapat dilakukan yaitu dengan menerapkan gaya hidup sehat untuk jantung dimana anda disarankan mengonsumsi makanan yang baik untuk pasien jantung koroner, rutin berolahraga, mengelolah stress dengan baik, serta berhenti merokok dan berhenti mengkonsumsi minuman keras. Anda juga sebaiknya berolahraga dengan intensitas ringan hingga sedang setidaknya 150 menit seminggu. Dengan berolahraga, Anda akan mengendalikan kadar kolesterol, gula darah, serta tekanan darah, yang merupakan faktor-faktor risiko penyakit jantung koroner.;Pilihlah menu makanan yang kaya akan sayur namun kurangi sayuran yang mengandung gas, seperti kol, lobak, nangka muda, dan sejenisnya, perbanyak buah,biji-bijian atau gandum utuh, serta kacang-kacangan. Hindari lemak jenuh dan trans, juga kurangi asupan gula dan garam, serta rajin mengkonsumsi the hijau. Ada baiknya Anda mengonsumsi 2 porsi ikan berlemak seminggu agar jantung tetap sehat. Untuk orang yang obesitas atau terlalu gemuk, jumlah makanan pokok sebagai sumber karbohidrat harus dikurangi. Pilih makanan yang mudah dicerna dan tidak merangsang.
alzheimer;Penyakit Alzheimer adalah penyakit otak yang menyebabkan penurunan daya ingat, menurunnya kemampuan berpikir dan berbicara, serta perubahan perilaku. Penyakit ini bisa memburuk seiring waktu sehingga membuat penderitanya tidak mampu lagi melakukan pekerjaan sehari-hari.;Kebersihan tubuh dan pola makan menjadi hal yang harus diperhatikan ketikan berbicara mengenai perawatan lansia Alzheimer. Karena cepat lupa, lansia mungkin saja jadi jarang untuk mandi, gosok gigi, makan dan sebagainya. Menjaga pola tidur karena penderita Alzheimer acap kali mengalami gangguan tidur, seperti insomnia. Kondisi ini tentu saja yang bisa berdampak buruk terhadap kesehatan tubuhnya. menjaga tubuh tetap aktif bermanfaat untuk membuatnya tetap sehat dan meringankan gejala yang ditimbulkan dari penyakit ini, ada banyak aktivitas yang bisa dilakukan bersama penderita, seperti Jogging, Berjalan santai, Membaca buku, Bermain musik, Memasak dan Bermain game asah otak.;Hindari mengkonsumsi pemanis buatan dan karbohidrat olahan. Sedangkan makanan yang dianjurkan untuk mencegah atau memperlambat perkembangan penyakit Alzheimer adalah Biji-bijian minimal tiga porsi setiap harinya, Sayuran Berdaun Hijau yang dapat mengurangi kerusakan sel otak pada penderita Alzheimer.  Daging Merah, Ikan, Unggas, Kacang-Kacangan karena Beberapa jenis kacang sangat membantu untuk mencegah Alzheimer sekaligus menyehatkan otak, mengkonsumsi Minyak Zaitun, Gandum utuh, Buah Beri dan Minuman Anggur.
alzheimer1;Penyakit Alzheimer adalah penyakit otak yang menyebabkan penurunan daya ingat, menurunnya kemampuan berpikir dan berbicara, serta perubahan perilaku. Penyakit ini bisa memburuk seiring waktu sehingga membuat penderitanya tidak mampu lagi melakukan pekerjaan sehari-hari.;Kebersihan tubuh dan pola makan menjadi hal yang harus diperhatikan ketikan berbicara mengenai perawatan lansia Alzheimer. Karena cepat lupa, lansia mungkin saja jadi jarang untuk mandi, gosok gigi, makan dan sebagainya. Menjaga pola tidur karena penderita Alzheimer acap kali mengalami gangguan tidur, seperti insomnia. Kondisi ini tentu saja yang bisa berdampak buruk terhadap kesehatan tubuhnya. menjaga tubuh tetap aktif bermanfaat untuk membuatnya tetap sehat dan meringankan gejala yang ditimbulkan dari penyakit ini, ada banyak aktivitas yang bisa dilakukan bersama penderita, seperti Jogging, Berjalan santai, Membaca buku, Bermain musik, Memasak dan Bermain game asah otak.;Hindari mengkonsumsi pemanis buatan dan karbohidrat olahan. Sedangkan makanan yang dianjurkan untuk mencegah atau memperlambat perkembangan penyakit Alzheimer adalah Biji-bijian minimal tiga porsi setiap harinya, Sayuran Berdaun Hijau yang dapat mengurangi kerusakan sel otak pada penderita Alzheimer.  Daging Merah, Ikan, Unggas, Kacang-Kacangan karena Beberapa jenis kacang sangat membantu untuk mencegah Alzheimer sekaligus menyehatkan otak, mengkonsumsi Minyak Zaitun, Gandum utuh, Buah Beri dan Minuman Anggur.
alzheimer2;Penyakit Alzheimer adalah penyakit otak yang menyebabkan penurunan daya ingat, menurunnya kemampuan berpikir dan berbicara, serta perubahan perilaku. Penyakit ini bisa memburuk seiring waktu sehingga membuat penderitanya tidak mampu lagi melakukan pekerjaan sehari-hari.;Kebersihan tubuh dan pola makan menjadi hal yang harus diperhatikan ketikan berbicara mengenai perawatan lansia Alzheimer. Karena cepat lupa, lansia mungkin saja jadi jarang untuk mandi, gosok gigi, makan dan sebagainya. Menjaga pola tidur karena penderita Alzheimer acap kali mengalami gangguan tidur, seperti insomnia. Kondisi ini tentu saja yang bisa berdampak buruk terhadap kesehatan tubuhnya. menjaga tubuh tetap aktif bermanfaat untuk membuatnya tetap sehat dan meringankan gejala yang ditimbulkan dari penyakit ini, ada banyak aktivitas yang bisa dilakukan bersama penderita, seperti Jogging, Berjalan santai, Membaca buku, Bermain musik, Memasak dan Bermain game asah otak.;Hindari mengkonsumsi pemanis buatan dan karbohidrat olahan. Sedangkan makanan yang dianjurkan untuk mencegah atau memperlambat perkembangan penyakit Alzheimer adalah Biji-bijian minimal tiga porsi setiap harinya, Sayuran Berdaun Hijau yang dapat mengurangi kerusakan sel otak pada penderita Alzheimer.  Daging Merah, Ikan, Unggas, Kacang-Kacangan karena Beberapa jenis kacang sangat membantu untuk mencegah Alzheimer sekaligus menyehatkan otak, mengkonsumsi Minyak Zaitun, Gandum utuh, Buah Beri dan Minuman Anggur.
alzheimer3;Penyakit Alzheimer adalah penyakit otak yang menyebabkan penurunan daya ingat, menurunnya kemampuan berpikir dan berbicara, serta perubahan perilaku. Penyakit ini bisa memburuk seiring waktu sehingga membuat penderitanya tidak mampu lagi melakukan pekerjaan sehari-hari.;Kebersihan tubuh dan pola makan menjadi hal yang harus diperhatikan ketikan berbicara mengenai perawatan lansia Alzheimer. Karena cepat lupa, lansia mungkin saja jadi jarang untuk mandi, gosok gigi, makan dan sebagainya. Menjaga pola tidur karena penderita Alzheimer acap kali mengalami gangguan tidur, seperti insomnia. Kondisi ini tentu saja yang bisa berdampak buruk terhadap kesehatan tubuhnya. menjaga tubuh tetap aktif bermanfaat untuk membuatnya tetap sehat dan meringankan gejala yang ditimbulkan dari penyakit ini, ada banyak aktivitas yang bisa dilakukan bersama penderita, seperti Jogging, Berjalan santai, Membaca buku, Bermain musik, Memasak dan Bermain game asah otak.;Hindari mengkonsumsi pemanis buatan dan karbohidrat olahan. Sedangkan makanan yang dianjurkan untuk mencegah atau memperlambat perkembangan penyakit Alzheimer adalah Biji-bijian minimal tiga porsi setiap harinya, Sayuran Berdaun Hijau yang dapat mengurangi kerusakan sel otak pada penderita Alzheimer.  Daging Merah, Ikan, Unggas, Kacang-Kacangan karena Beberapa jenis kacang sangat membantu untuk mencegah Alzheimer sekaligus menyehatkan otak, mengkonsumsi Minyak Zaitun, Gandum utuh, Buah Beri dan Minuman Anggur.
Nefropati diabetik;Nefropati Diabetik adalah komplikasi diabetes melitus pada ginjal yang dapat berakhir sebagai gagal ginjal. Penyakit ginjal (nefropati) merupakan penyebab utama kematian dan kecacatan pada diabetes melitus;Tindakan pencegahan dilakukan dengan cara menjaga gula darah dan tekanan darah tinggi dalam kadar terkontrol dengan baik, mempertahankan berat badan yang sehat, tidak merokok, dan minum alkohol. Aktivitas fisik juga disarankan untuk dilakukan rutin sekitar 3-4 kali per minggu. Sementara itu, pengidap diwajibkan rutin melakukan pemeriksaan untuk mendeteksi dini adanya gangguan ginjal. Menjaga berat badan tetap ideal, menurunkan berat badan bila diperlukan, mengontrol kadar gula dalam darah dan beristirahat dengan cukup.;Pola makan juga harus dijaga sesuai diet diabetes, yakni rendah karbo, frekuensi tiap 3 jam, dan tinggi serat.Selain itu, dokter juga akan menganjurkan pasien menjalani pola makan yang lebih ketat, seperti membatasi asupan protein, mengurangi asupan sodium atau garam kurang dari 15002000 mg/dL, membatasi konsumsi makanan tinggi kalium seperti pisang, bayam, dan alpukat, membatasi konsumsi makanan tinggi fosfor seperti yoghurt, susu, dan daging olahan
Nefropati diabetik1;Nefropati Diabetik adalah komplikasi diabetes melitus pada ginjal yang dapat berakhir sebagai gagal ginjal. Penyakit ginjal (nefropati) merupakan penyebab utama kematian dan kecacatan pada diabetes melitus;Tindakan pencegahan dilakukan dengan cara menjaga gula darah dan tekanan darah tinggi dalam kadar terkontrol dengan baik, mempertahankan berat badan yang sehat, tidak merokok, dan minum alkohol. Aktivitas fisik juga disarankan untuk dilakukan rutin sekitar 3-4 kali per minggu. Sementara itu, pengidap diwajibkan rutin melakukan pemeriksaan untuk mendeteksi dini adanya gangguan ginjal. Menjaga berat badan tetap ideal, menurunkan berat badan bila diperlukan, mengontrol kadar gula dalam darah dan beristirahat dengan cukup.;Pola makan juga harus dijaga sesuai diet diabetes, yakni rendah karbo, frekuensi tiap 3 jam, dan tinggi serat.Selain itu, dokter juga akan menganjurkan pasien menjalani pola makan yang lebih ketat, seperti membatasi asupan protein, mengurangi asupan sodium atau garam kurang dari 15002000 mg/dL, membatasi konsumsi makanan tinggi kalium seperti pisang, bayam, dan alpukat, membatasi konsumsi makanan tinggi fosfor seperti yoghurt, susu, dan daging olahan
Nefropati diabetik2;Nefropati Diabetik adalah komplikasi diabetes melitus pada ginjal yang dapat berakhir sebagai gagal ginjal. Penyakit ginjal (nefropati) merupakan penyebab utama kematian dan kecacatan pada diabetes melitus;Tindakan pencegahan dilakukan dengan cara menjaga gula darah dan tekanan darah tinggi dalam kadar terkontrol dengan baik, mempertahankan berat badan yang sehat, tidak merokok, dan minum alkohol. Aktivitas fisik juga disarankan untuk dilakukan rutin sekitar 3-4 kali per minggu. Sementara itu, pengidap diwajibkan rutin melakukan pemeriksaan untuk mendeteksi dini adanya gangguan ginjal. Menjaga berat badan tetap ideal, menurunkan berat badan bila diperlukan, mengontrol kadar gula dalam darah dan beristirahat dengan cukup.;Pola makan juga harus dijaga sesuai diet diabetes, yakni rendah karbo, frekuensi tiap 3 jam, dan tinggi serat.Selain itu, dokter juga akan menganjurkan pasien menjalani pola makan yang lebih ketat, seperti membatasi asupan protein, mengurangi asupan sodium atau garam kurang dari 15002000 mg/dL, membatasi konsumsi makanan tinggi kalium seperti pisang, bayam, dan alpukat, membatasi konsumsi makanan tinggi fosfor seperti yoghurt, susu, dan daging olahan
Nefropati diabetik3;Nefropati Diabetik adalah komplikasi diabetes melitus pada ginjal yang dapat berakhir sebagai gagal ginjal. Penyakit ginjal (nefropati) merupakan penyebab utama kematian dan kecacatan pada diabetes melitus;Tindakan pencegahan dilakukan dengan cara menjaga gula darah dan tekanan darah tinggi dalam kadar terkontrol dengan baik, mempertahankan berat badan yang sehat, tidak merokok, dan minum alkohol. Aktivitas fisik juga disarankan untuk dilakukan rutin sekitar 3-4 kali per minggu. Sementara itu, pengidap diwajibkan rutin melakukan pemeriksaan untuk mendeteksi dini adanya gangguan ginjal. Menjaga berat badan tetap ideal, menurunkan berat badan bila diperlukan, mengontrol kadar gula dalam darah dan beristirahat dengan cukup.;Pola makan juga harus dijaga sesuai diet diabetes, yakni rendah karbo, frekuensi tiap 3 jam, dan tinggi serat.Selain itu, dokter juga akan menganjurkan pasien menjalani pola makan yang lebih ketat, seperti membatasi asupan protein, mengurangi asupan sodium atau garam kurang dari 15002000 mg/dL, membatasi konsumsi makanan tinggi kalium seperti pisang, bayam, dan alpukat, membatasi konsumsi makanan tinggi fosfor seperti yoghurt, susu, dan daging olahan
Aterosklerosis;Aterosklerosis adalah masalah kesehatan yang terjadi ketika terdapat tumpukan kolesterol dan zat lain di dalam dinding pembuluh darah arteri. Tumpukan ini bisa mengeras dan mengganggu aliran darah ke jantung lantaran pembuluh darah tersumbat atau menyempit.;Aterosklerosis erat kaitannya dengan gaya hidup tidak sehat. Karena itu, untuk mencegah masalah lebih lanjut yang bisa dipicu kondisi ini, cara yang utama adalah menjalani gaya hidup sehat dengantidak merokok/berhenti merokok, Berolahraga minimal 30 menit sehari selama 6 hari dalam sepekan, menjaga berat badan normal, mengatasi stres, bila perlu konsultasi dengan dokter, menjaga kadar kolesterol, tekanan darah, dan gula darah. Jika memiliki faktor risiko, Anda harus rutin menjalani pemeriksaan kesehatan sehingga dokter bisa mengambil langkah penanganan secepatnya ketika mendeteksi aterosklerosis. Anda harus mewaspadai gejala yang kian memburuk dari hari ke hari. Penanganan dini bisa mencegah komplikasi, termasuk serangan jantung yang dapat mengancam jiwa.;Mengikuti pola makan yang kaya akan makanan tertentu seperti sayuran, buah-buahan, dan ikan telah terbukti mengurangi risiko aterosklerosis dan penyakit jantung. Makanan yang baik dikonsumsi untuk menjaga kesehatan arteri koroner antara lain Buah beri misalnya stroberi, ikan yang akan omega-3, biji-bijian atau kacang-kacangan, sayur-sayuran misalnya tomat, brokoli, kubis, kembang kol lalu bawang merah, buah-buahan jeruk dan minyak zaitun
Aterosklerosis1;Aterosklerosis adalah masalah kesehatan yang terjadi ketika terdapat tumpukan kolesterol dan zat lain di dalam dinding pembuluh darah arteri. Tumpukan ini bisa mengeras dan mengganggu aliran darah ke jantung lantaran pembuluh darah tersumbat atau menyempit.;Aterosklerosis erat kaitannya dengan gaya hidup tidak sehat. Karena itu, untuk mencegah masalah lebih lanjut yang bisa dipicu kondisi ini, cara yang utama adalah menjalani gaya hidup sehat dengantidak merokok/berhenti merokok, Berolahraga minimal 30 menit sehari selama 6 hari dalam sepekan, menjaga berat badan normal, mengatasi stres, bila perlu konsultasi dengan dokter, menjaga kadar kolesterol, tekanan darah, dan gula darah. Jika memiliki faktor risiko, Anda harus rutin menjalani pemeriksaan kesehatan sehingga dokter bisa mengambil langkah penanganan secepatnya ketika mendeteksi aterosklerosis. Anda harus mewaspadai gejala yang kian memburuk dari hari ke hari. Penanganan dini bisa mencegah komplikasi, termasuk serangan jantung yang dapat mengancam jiwa.;Mengikuti pola makan yang kaya akan makanan tertentu seperti sayuran, buah-buahan, dan ikan telah terbukti mengurangi risiko aterosklerosis dan penyakit jantung. Makanan yang baik dikonsumsi untuk menjaga kesehatan arteri koroner antara lain Buah beri misalnya stroberi, ikan yang akan omega-3, biji-bijian atau kacang-kacangan, sayur-sayuran misalnya tomat, brokoli, kubis, kembang kol lalu bawang merah, buah-buahan jeruk dan minyak zaitun
Glaukoma;glaukoma adalah kondisi medis berupa gangguan penglihatan yang disebabkan oleh kerusakan saraf mata. Biasanya, kerusakan saraf mata tersebut terjadi karena adanya tekanan tinggi pada bola mata. Namun, ada beberapa kasus glaukoma yang terjadi walau tekanan pada bola matanya masih dalam batas normal sekalipun. Jika terjadi cukup parah, glaukoma adalah kondisi yang bahkan bisa mengakibatkan kebutaan.;Pencegahan gluakoma dapat dilakukan dengan Memosisikan bantal sedikit lebih tinggi saat tidur dan berolahraga secara rutin, lalu Hubungi dokter jika mengalami gejala tekanan pada bola mata. Jika kamu atau anggota keluarga memiliki tanda dan gejala glaukoma di atas, segeralah berbicara dengan dokter guna mendapatkan penanganan yang tepat. Gunakan obat tetes mata yang diresepkan dokter secara teratur. Obat tetes mata glaukoma dapat secara signifikan mengurangi risiko tekanan mata tinggi berkembang menjadi glaukoma. Cedera mata yang serius dapat menyebabkan glaukoma. Jadi, gunakanlah pelindung mata saat berolahraga atau saat bekerja dengan menggunakan alat-alat listrik.;Glaukoma pada mata dapat berakibat fatal jika tak segera ditangani. Selain penanganan medis, penanganan dari sisi nutrisi juga penting. Agar penyembuhan cepat selesai dan fungsi mata dapat kembali normal. Mengonsumsi makanan sumber antioksidan seperti Biji-bijian, kacang-kacangan, buah-buahan, dan sayuran segar. Mengonsumsi makanan kaya akan vitamin A dan vitamin C misalnya the hijau, menghindari konsumsi kopi, alkohol, makanan yang mengandung alergen bagi orang yang memiliki alergi, menghindari makanan tinggi lemak jenuh atau lemak trans.  
Glaukoma1;glaukoma adalah kondisi medis berupa gangguan penglihatan yang disebabkan oleh kerusakan saraf mata. Biasanya, kerusakan saraf mata tersebut terjadi karena adanya tekanan tinggi pada bola mata. Namun, ada beberapa kasus glaukoma yang terjadi walau tekanan pada bola matanya masih dalam batas normal sekalipun. Jika terjadi cukup parah, glaukoma adalah kondisi yang bahkan bisa mengakibatkan kebutaan.;Pencegahan gluakoma dapat dilakukan dengan Memosisikan bantal sedikit lebih tinggi saat tidur dan berolahraga secara rutin, lalu Hubungi dokter jika mengalami gejala tekanan pada bola mata. Jika kamu atau anggota keluarga memiliki tanda dan gejala glaukoma di atas, segeralah berbicara dengan dokter guna mendapatkan penanganan yang tepat. Gunakan obat tetes mata yang diresepkan dokter secara teratur. Obat tetes mata glaukoma dapat secara signifikan mengurangi risiko tekanan mata tinggi berkembang menjadi glaukoma. Cedera mata yang serius dapat menyebabkan glaukoma. Jadi, gunakanlah pelindung mata saat berolahraga atau saat bekerja dengan menggunakan alat-alat listrik.;Glaukoma pada mata dapat berakibat fatal jika tak segera ditangani. Selain penanganan medis, penanganan dari sisi nutrisi juga penting. Agar penyembuhan cepat selesai dan fungsi mata dapat kembali normal. Mengonsumsi makanan sumber antioksidan seperti Biji-bijian, kacang-kacangan, buah-buahan, dan sayuran segar. Mengonsumsi makanan kaya akan vitamin A dan vitamin C misalnya the hijau, menghindari konsumsi kopi, alkohol, makanan yang mengandung alergen bagi orang yang memiliki alergi, menghindari makanan tinggi lemak jenuh atau lemak trans.  
Glaukoma2;glaukoma adalah kondisi medis berupa gangguan penglihatan yang disebabkan oleh kerusakan saraf mata. Biasanya, kerusakan saraf mata tersebut terjadi karena adanya tekanan tinggi pada bola mata. Namun, ada beberapa kasus glaukoma yang terjadi walau tekanan pada bola matanya masih dalam batas normal sekalipun. Jika terjadi cukup parah, glaukoma adalah kondisi yang bahkan bisa mengakibatkan kebutaan.;Pencegahan gluakoma dapat dilakukan dengan Memosisikan bantal sedikit lebih tinggi saat tidur dan berolahraga secara rutin, lalu Hubungi dokter jika mengalami gejala tekanan pada bola mata. Jika kamu atau anggota keluarga memiliki tanda dan gejala glaukoma di atas, segeralah berbicara dengan dokter guna mendapatkan penanganan yang tepat. Gunakan obat tetes mata yang diresepkan dokter secara teratur. Obat tetes mata glaukoma dapat secara signifikan mengurangi risiko tekanan mata tinggi berkembang menjadi glaukoma. Cedera mata yang serius dapat menyebabkan glaukoma. Jadi, gunakanlah pelindung mata saat berolahraga atau saat bekerja dengan menggunakan alat-alat listrik.;Glaukoma pada mata dapat berakibat fatal jika tak segera ditangani. Selain penanganan medis, penanganan dari sisi nutrisi juga penting. Agar penyembuhan cepat selesai dan fungsi mata dapat kembali normal. Mengonsumsi makanan sumber antioksidan seperti Biji-bijian, kacang-kacangan, buah-buahan, dan sayuran segar. Mengonsumsi makanan kaya akan vitamin A dan vitamin C misalnya the hijau, menghindari konsumsi kopi, alkohol, makanan yang mengandung alergen bagi orang yang memiliki alergi, menghindari makanan tinggi lemak jenuh atau lemak trans.  
Glaukoma3;glaukoma adalah kondisi medis berupa gangguan penglihatan yang disebabkan oleh kerusakan saraf mata. Biasanya, kerusakan saraf mata tersebut terjadi karena adanya tekanan tinggi pada bola mata. Namun, ada beberapa kasus glaukoma yang terjadi walau tekanan pada bola matanya masih dalam batas normal sekalipun. Jika terjadi cukup parah, glaukoma adalah kondisi yang bahkan bisa mengakibatkan kebutaan.;Pencegahan gluakoma dapat dilakukan dengan Memosisikan bantal sedikit lebih tinggi saat tidur dan berolahraga secara rutin, lalu Hubungi dokter jika mengalami gejala tekanan pada bola mata. Jika kamu atau anggota keluarga memiliki tanda dan gejala glaukoma di atas, segeralah berbicara dengan dokter guna mendapatkan penanganan yang tepat. Gunakan obat tetes mata yang diresepkan dokter secara teratur. Obat tetes mata glaukoma dapat secara signifikan mengurangi risiko tekanan mata tinggi berkembang menjadi glaukoma. Cedera mata yang serius dapat menyebabkan glaukoma. Jadi, gunakanlah pelindung mata saat berolahraga atau saat bekerja dengan menggunakan alat-alat listrik.;Glaukoma pada mata dapat berakibat fatal jika tak segera ditangani. Selain penanganan medis, penanganan dari sisi nutrisi juga penting. Agar penyembuhan cepat selesai dan fungsi mata dapat kembali normal. Mengonsumsi makanan sumber antioksidan seperti Biji-bijian, kacang-kacangan, buah-buahan, dan sayuran segar. Mengonsumsi makanan kaya akan vitamin A dan vitamin C misalnya the hijau, menghindari konsumsi kopi, alkohol, makanan yang mengandung alergen bagi orang yang memiliki alergi, menghindari makanan tinggi lemak jenuh atau lemak trans.  
Hiperglikemia;Hiperglikemia adalah kondisi ketika kadar gula didalam darah melebihi batas normal. Pada dasarnya dapat terjadi akibat asupan gula terlalu banyak, tubuh memproduksi gula darah berlebih, atau terdapat gangguan pada proses pengubahan gula darah menjadi energi.;Hiperglikemia atau gula darah tinggi bisa diatasi dengan mengubah gaya hidup menjadi lebih sehat, seperti Melakukan aktivitas fisik dan rutin berolahraga Meningkatkan asupan makanan berserat tinggi, seperti sayur-sayuran Mengurangi konsumsi makanan yang tinggi akan karbohidrat sederhana, seperti nasi putih dan roti Mengelola stres dengan melakukan meditasi, seperti yoga Memperbanyak minum air putih agar terhindar dari dehidrasi Beristirahat yang cukup dan berkualitas Menyesuaikan dosis pengobatan insulin, jika sedang menjalani pengobatan tersebut Memantau kadar gula darah secara rutin ke dokter;Di bawah ini adalah beberapa makanan terbaik untuk orang yang ingin menjaga kadar gula darah tetap terkontrol Roti Gandum karena roti ini memiliki indeks glikemik dan karbohidrat lebih rendah dibandingkan roti lainnya. Buah-Buahan, sebagian besar buah-buahan indeks glikemik rendah yaitu kurang dari 55 yang dapat dapat menyeimbangkan gula alami (fruktosa). Ubi jalar karena memiliki indeks glikemik yang rendah. Oatmeal karena mengandung B-glukan yang membantu menjaga kontrol glikemik. Kacang-Kacangan karena mengandung protein nabati tingkat tinggi, asam lemak tak jenuh, vitamin, flavonoid, magnesium, dan kalium. Bawang Putih karena Senyawa dalam bawang putih dapat membantu mengurangi gula darah dengan meningkatkan sensitivitas dan sekresi insulin. Yoghurt karena termasuk makanan rendah glikemik.
Hiperglikemia1;Hiperglikemia adalah kondisi ketika kadar gula didalam darah melebihi batas normal. Pada dasarnya dapat terjadi akibat asupan gula terlalu banyak, tubuh memproduksi gula darah berlebih, atau terdapat gangguan pada proses pengubahan gula darah menjadi energi.;Hiperglikemia atau gula darah tinggi bisa diatasi dengan mengubah gaya hidup menjadi lebih sehat, seperti Melakukan aktivitas fisik dan rutin berolahraga Meningkatkan asupan makanan berserat tinggi, seperti sayur-sayuran Mengurangi konsumsi makanan yang tinggi akan karbohidrat sederhana, seperti nasi putih dan roti Mengelola stres dengan melakukan meditasi, seperti yoga Memperbanyak minum air putih agar terhindar dari dehidrasi Beristirahat yang cukup dan berkualitas Menyesuaikan dosis pengobatan insulin, jika sedang menjalani pengobatan tersebut Memantau kadar gula darah secara rutin ke dokter;Di bawah ini adalah beberapa makanan terbaik untuk orang yang ingin menjaga kadar gula darah tetap terkontrol Roti Gandum karena roti ini memiliki indeks glikemik dan karbohidrat lebih rendah dibandingkan roti lainnya. Buah-Buahan, sebagian besar buah-buahan indeks glikemik rendah yaitu kurang dari 55 yang dapat dapat menyeimbangkan gula alami (fruktosa). Ubi jalar karena memiliki indeks glikemik yang rendah. Oatmeal karena mengandung B-glukan yang membantu menjaga kontrol glikemik. Kacang-Kacangan karena mengandung protein nabati tingkat tinggi, asam lemak tak jenuh, vitamin, flavonoid, magnesium, dan kalium. Bawang Putih karena Senyawa dalam bawang putih dapat membantu mengurangi gula darah dengan meningkatkan sensitivitas dan sekresi insulin. Yoghurt karena termasuk makanan rendah glikemik.
